# This is planckarc_pos1-comb1.txt the combined spectrum created by combine_mage_spectra.pro from planckarc_pos1.ls
# Total exptime should be        13500.000 s  (       3.7500000 hr)
# 4675.0 +/- 192.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-a-comb.txt       4.6300000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-b-comb.txt       4.6000000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-c-comb.txt       4.5800000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-comb.txt       4.5500000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/psz1550-7811_1e-comb.txt       4.5100000       2700.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
# MW reddening correction of E(B-V)=0.09427 , Rv=3.1, CCM has been applied
wave	fnu	noise	obswave	avgsky	fnuspec1	dfnuspec1	fnuspec2	dfnuspec2	fnuspec3	dfnuspec3	fnuspec4	dfnuspec4	fnuspec5	dfnuspec5	MWredcor
 3.21072890E+03	 2.44378921E-27	 1.75978098E-27	 3.20975200E+03	 1.01100000E-26	 1.79800000E-27	 2.77900000E-27	 2.12300000E-27	 3.01300000E-27	 3.29600000E-28	 3.03400000E-27	 1.62700000E-27	 1.47900000E-27	 2.27300000E-24	 1.11900000E-23	 1.57969568E+00
 3.21097100E+03	 1.07304982E-27	 1.75182136E-27	 3.20999400E+03	 1.08300000E-26	 2.41500000E-27	 2.95400000E-27	-2.42100000E-27	 2.83900000E-27	 1.13000000E-27	 2.94800000E-27	 9.70800000E-28	 1.47600000E-27	 3.17100000E-24	 1.05500000E-23	 1.57964054E+00
 3.21121300E+03	 4.29331326E-27	 1.72806648E-27	 3.21023590E+03	 8.09400000E-27	 3.21500000E-28	 2.74300000E-27	 3.48400000E-27	 2.86600000E-27	 5.48700000E-27	 3.09400000E-27	 2.58400000E-27	 1.44900000E-27	 2.75200000E-24	 1.00400000E-23	 1.57958545E+00
 3.21145500E+03	 4.12257434E-27	 1.79908513E-27	 3.21047790E+03	 1.13800000E-26	 9.87300000E-28	 2.96100000E-27	 4.62700000E-27	 3.04400000E-27	 1.32600000E-27	 3.00900000E-27	 2.85900000E-27	 1.51100000E-27	 4.01800000E-24	 9.79300000E-24	 1.57953040E+00
 3.21169700E+03	 3.18738131E-27	 1.75637662E-27	 3.21071980E+03	 1.04000000E-26	 1.48800000E-27	 2.94100000E-27	-3.59500000E-28	 2.78200000E-27	 2.48200000E-27	 3.03100000E-27	 2.71800000E-27	 1.48300000E-27	 4.50800000E-25	 9.31100000E-24	 1.57947538E+00
 3.21193910E+03	 4.89620314E-27	 1.69629747E-27	 3.21096180E+03	 7.12100000E-27	 3.08100000E-27	 2.68200000E-27	 9.19100000E-28	 2.82300000E-27	 4.56800000E-27	 2.98900000E-27	 3.32800000E-27	 1.42800000E-27	 1.82600000E-25	 8.68700000E-24	 1.57942037E+00
 3.21218100E+03	 3.43038172E-27	 1.61569084E-27	 3.21120370E+03	 5.07200000E-27	 7.13400000E-27	 2.73500000E-27	 1.83100000E-28	 2.55800000E-27	-1.44000000E-28	 2.82100000E-27	 2.04700000E-27	 1.35700000E-27	 5.29100000E-24	 8.89300000E-24	 1.57936543E+00
 3.21242310E+03	 3.40657271E-27	 1.59826221E-27	 3.21144570E+03	 4.69800000E-27	-9.38300000E-28	 2.42900000E-27	 3.83600000E-27	 2.78900000E-27	 4.47500000E-27	 2.79400000E-27	 2.17900000E-27	 1.34900000E-27	 7.67500000E-25	 8.84000000E-24	 1.57931048E+00
 3.21266510E+03	 2.21569559E-27	 1.65663911E-27	 3.21168760E+03	 7.90300000E-27	 5.53100000E-28	 2.53000000E-27	 1.15900000E-27	 2.83900000E-27	-1.30900000E-27	 2.80400000E-27	 2.41700000E-27	 1.41300000E-27	 2.88600000E-24	 8.26900000E-24	 1.57925559E+00
 3.21290710E+03	 9.15304741E-28	 1.72764559E-27	 3.21192960E+03	 1.18100000E-26	 1.86600000E-28	 2.73400000E-27	-2.31600000E-29	 2.78900000E-27	-1.44700000E-28	 3.05100000E-27	 1.02600000E-27	 1.46500000E-27	-1.30300000E-24	 8.24400000E-24	 1.57920073E+00
 3.21314910E+03	 1.61546625E-27	 1.75916853E-27	 3.21217150E+03	 1.29300000E-26	 1.81000000E-27	 2.77400000E-27	-2.81200000E-27	 2.98200000E-27	-3.25800000E-28	 2.97300000E-27	 2.09200000E-27	 1.49000000E-27	-5.38000000E-24	 7.42800000E-24	 1.57914590E+00
